RecordID,AircraftType,AirportName,AltitudeBin,MakeModel,NumberStruck,NumberStruckActual,Effect,FlightDate,Damage,Engines,Operator,OriginState,FlightPhase,ConditionsPrecipitation,RemainsCollected?,RemainsSentToSmithsonian,Remarks,WildlifeSize,ConditionsSky,WildlifeSpecies,PilotWarned,Cost,Altitude,PeopleInjured,IsAircraftLarge?
313461,Airplane,GENERAL MITCHELL INTL,"(-1, 0]",MD-88,1,1,None,7/18/11 0:00,No damage,2,DELTA AIR LINES,Wisconsin,Landing Roll,None,True,False,AFD & ATIS WARNING.,Small,Some Cloud,Barn swallow,Y,0,0,0,No
313462,Airplane,JOHN F KENNEDY INTL,"(-1, 0]",A-320,1,1,None,7/18/11 0:00,No damage,2,DELTA AIR LINES,New York,Take-off run,None,True,True,"ID BY SMITHSONIAN. BIRD FIRST REPTD AS SPARROW. CAPT REPTD SEEING & STRIKING 1 SML BIRD ON T/O ROLL. ARRIVED AT LGA W/ NO INCIDENT. DAL MX INSPN REPTD NO DMG. JFK WILDLIF SUPV REPORTS FINDING A ""SPARROW"" CARCASS ON RWY KK. 2ND SET OF REMAINS RECEIVED AT S",Small,Some Cloud,Barn swallow,Y,0,0,0,No
314807,Airplane,GRAND CANYON NATIONAL,"(50, 100]",DHC6,1,1,None,7/18/11 0:00,Caused damage,2,GRAND CANYON AIRLINES,Arizona,Climb,None,False,False,BIRD REPTD AS CROW/RAVEN. LEADING EDGE DMG TO OUT RT WING.,Large,Some Cloud,Unknown bird - large,N,0,75,0,No
314866,Airplane,KALAMAZOO/BATTLE CREEK INTL,"(600, 1000]",C-150,1,1,None,7/19/11 0:00,No damage,1,PRIVATELY OWNED,Michigan,Approach,None,False,False,PILOT REPT SEEING TURKEY VULTURES ON FINAL 20 MINS PRIOR. COST WAS FOR CLEANING SUPPLIES.,Small,Some Cloud,Unknown bird - small,Y,5,800,0,No
314865,Airplane,SAVANNAH INTL,"(30, 50]",LEARJET-45,1,1,None,7/19/11 0:00,No damage,2,BUSINESS,Georgia,Approach,None,False,False,PILOT REPTD NO DMG.,Small,Some Cloud,Rock pigeon,Y,0,50,0,No
314299,Airplane,ROANOKE REGIONAL,"(30, 50]",A-300,1,1,None,7/19/11 0:00,No damage,2,UPS AIRLINES,Virginia,Climb,None,False,False,DID NOT SEE THE BIRD. HEARD AND FELT STRIKE ABOVE CAPT WINDSHIELD. A/C MX REPTD NO DMG AFTER INSPN KGSO.,Large,No Cloud,Unknown bird - large,N,0,50,0,No
314292,Airplane,RONALD REAGAN WASHINGTON NATL,"(400, 600]",EMB-190,1,1,None,7/19/11 0:00,No damage,2,JETBLUE AIRWAYS,DC,Approach,None,False,False,MX INSPN REVEALED NO DMG. STRUCK NOSE OF A/C JUST BELOW WINDSHIELD BTWN WINDSHIELD WIPER MOTORS. CENTER OF A/C.,Small,No Cloud,Swallows,N,0,600,0,No
314296,Airplane,DALLAS LOVE FIELD ARPT,"(10, 30]",B-737-300,1,1,None,7/19/11 0:00,No damage,2,SOUTHWEST AIRLINES,Texas,Approach,None,False,False,NO DMG. TRACE OF BLOOD ON RADOME.,Small,No Cloud,Unknown bird - small,N,0,30,0,Yes
314298,Airplane,ONTARIO INTL ARPT,"(-1, 0]",B-737-700,1,1,None,7/19/11 0:00,No damage,2,SOUTHWEST AIRLINES,California,Take-off run,None,False,False,NO DMG. LT SIDE OF COCKPIT. BIRD WAS BLACK.,Small,No Cloud,Unknown bird - small,N,0,0,0,Yes
313466,Airplane,DALLAS LOVE FIELD ARPT,"(0, 10]",B-737-700,1,1,None,7/19/11 0:00,No damage,2,SOUTHWEST AIRLINES,Texas,Climb,None,False,False,"(DATA ENTRY NOTE: CAPT REPTD ALT AS 2', ARPT OPS AS 200'. CAPT CONFIRMED HIS WAS CORRECT)",Small,Some Cloud,Unknown bird - small,N,0,2,0,Yes
314295,Airplane,MAHLON SWEET FLD,"(0, 10]",EMB-120,1,1,None,7/19/11 0:00,No damage,2,SKYWEST AIRLINES,Oregon,Climb,None,False,False,NO DMG. DISCHARGED THROUGH INERTIAL BYPASS DUCT.,Small,Overcast,Unknown bird - small,Y,0,5,0,No
314290,Airplane,EAGLE COUNTY REGIONAL,"(-1, 0]",C-172,1,1,None,7/19/11 0:00,No damage,1,BUSINESS,Colorado,Landing Roll,None,True,False,NO DMG. BIRD REPTD AS BLUE BIRD.,Small,Some Cloud,Unknown bird - small,N,0,0,0,No
313467,Airplane,BURLINGTON INTL,"(-1, 0]",C-172,1,1,Precautionary Landing,7/19/11 0:00,No damage,1,BUSINESS,Vermont,Take-off run,None,True,False,HIT BIRD WHILE DOING TOUCH AND GOES ON RWY. GRASSHOPPERS ON/AROUND RWY. PILOT SAW BIRD NEAR THE A/C WHEN LANDING. THEN SAW THE BIRD IN THE MIDDLE OF THE RWY WHEN TAXIING BACK TO PARK. NO DMG REPTD. BIRD WAS FOUND INTACT.,Small,No Cloud,American kestrel,Y,0,0,0,No
314293,Airplane,LAMBERT-ST LOUIS INTL,"(-1, 0]",CL-RJ700,1,1,None,7/19/11 0:00,No damage,2,GOJET AIRLINES,Missouri,Take-off run,None,True,False,PILOT CALLED ATCT AT T/O TO REPT HITTING A BIRD. ANOTHER PILOT SAW THE DEAD BIRD ON RWY AND CALLED ATCT. STL OPS COLLECTED AND WS ID'D.,Small,No Cloud,Killdeer,Y,0,0,0,No
313468,Airplane,WASHINGTON DULLES INTL ARPT,"(-1, 0]",CL-RJ100/200,1,1,None,7/19/11 0:00,No damage,2,PINNACLE,DC,Landing Roll,None,True,False,"LEFT LEADING EGE OF WING. NO DMG. INDICATED. ATC REPTD STRIKE TO OPS. RAMP RWR REPTD FLG3842 HIT A BIRD ABOUT MID-FIELD ON 1C. 1 ""SPARROW"" 25' W OF CENTERLINE AT TWY Y6.",Small,Some Cloud,Sparrows,Y,0,0,0,No
314289,Airplane,SAN ANTONIO INTL,"(-1, 0]",MD-82,1,1,None,7/19/11 0:00,No damage,2,AMERICAN AIRLINES,Texas,Take-off run,None,True,False,,Small,Some Cloud,Mourning dove,Y,0,0,0,No
313464,Airplane,OHIO STATE UNIVERSITY,"(10, 30]",DIAMOND 40,1,1,Precautionary Landing,7/19/11 0:00,No damage,1,PRIVATELY OWNED,Ohio,Climb,None,True,True,"ID BY SMITHSONIAN, FROM PHOTO.  PROBABLY A BIG BROWN BAT. WS BIOL BELIEVES IT WAS, TOO. WHILE DOING TOUCH AND GO LANDING THEN T/O HIT WAS I THOUGHT WAS A SML BIRD. NOTIFIED TWR AND DECLARED NEXT APPCH AS A FULL STOP. CLEANED BLOOD OFF WINDSHLD. NO FEATHER",Small,No Cloud,Big brown bat,N,0,20,0,No
313470,Airplane,NEWARK LIBERTY INTL ARPT,"(2000, 3000]",B-737-900,1,1,None,7/19/11 0:00,No damage,2,CONTINENTAL AIRLINES,New Jersey,Approach,None,True,True,ID BY SMITHSONIAN. NO DMG. CREW HAD ALREADY DEPARTED,Small,No Cloud,Brown-headed cowbird,Y,0,3000,0,Yes
314808,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,"(30, 50]",CL-RJ100/200,1,1,None,7/19/11 0:00,No damage,2,AIR WISCONSIN AIRLINES,North Carolina,Approach,None,False,False,NO DMG REPTD,Small,No Cloud,American robin,N,0,50,0,No
314867,Airplane,LINCOLN MUNICIPAL,"(0, 10]",C-172,1,1,None,7/19/11 0:00,No damage,1,BUSINESS,Nebraska,Climb,None,True,False,PERMANENT BIRD NOTAM.,Small,No Cloud,Western kingbird,Y,0,5,0,No
313475,Airplane,AMARILLO INTL,"(50, 100]",C-560,1,1,None,7/20/11 0:00,No damage,2,BUSINESS,Texas,Climb,None,False,False,NO DMG. NO REMAINS FOUND ON RWY INSPN. FLT CONTD TO DESTINATION.,Small,No Cloud,Unknown bird - small,N,0,100,0,No
314308,Airplane,NEWPORT NEWS/WILLIAMSBURG INTL,"(-1, 0]",BE-400 BJET,1,1,None,7/20/11 0:00,No damage,2,BUSINESS,Virginia,Landing Roll,None,False,False,NO DMG REPTD. SPECIES REPTD AS SMALL BLACK BIRDS.,Small,Some Cloud,Unknown bird - small,N,0,0,0,No
314312,Airplane,SEATTLE-TACOMA INTL,"(-1, 0]",B-737-700,1,1,None,7/20/11 0:00,No damage,2,SOUTHWEST AIRLINES,Washington,Take-off run,None,False,False,NO DMG. BLOOD BUT NO REMAINS.,Small,No Cloud,Unknown bird - small,N,0,0,0,Yes
314307,Airplane,INDIANAPOLIS INTL,"(100, 200]",A-319,1,1,None,7/20/11 0:00,No damage,2,FRONTIER AIRLINES,Indiana,Approach,None,False,False,NO DMG.,Small,No Cloud,Unknown bird - small,N,0,200,0,No
