RecordID,AircraftType,AirportName,AltitudeBin,MakeModel,NumberStruck,NumberStruckActual,Effect,FlightDate,Damage,Engines,Operator,OriginState,FlightPhase,ConditionsPrecipitation,RemainsCollected?,RemainsSentToSmithsonian,Remarks,WildlifeSize,ConditionsSky,WildlifeSpecies,PilotWarned,Cost,Altitude,PeopleInjured,IsAircraftLarge?
202152,Airplane,LAGUARDIA NY,"(1000, 2000]",B-737-400,Over 100,859,Engine Shut Down,11/23/00 0:00,Caused damage,2,US AIRWAYS*,New York,Climb,None,False,False,"FLT 753. PILOT REPTD A HUNDRED BIRDS ON UNKN TYPE. #1 ENG WAS SHUT DOWN AND DIVERTED TO EWR. SLIGHT VIBRATION. A/C WAS OUT OF SVC FOR REPAIRS TO COWLING, FAN DUCT ACCOUSTIC PANEL. INGESTION. DENTED FAN BLADE #26 IN #1 ENG. HEAVY BLOOD STAINS ON L WINGTIP",Medium,No Cloud,Unknown bird - medium,N,"30,736",1500,0,Yes
208159,Airplane,DALLAS/FORT WORTH INTL ARPT,"(-1, 0]",MD-80,Over 100,424,None,7/25/01 0:00,Caused damage,2,AMERICAN AIRLINES,Texas,Landing Roll,None,False,False,102 CARCASSES FOUND. 1 LDG LIGHT ON NOSE GEAR WAS DAMAGED AND REPLACED.,Small,Some Cloud,Rock pigeon,Y,0,0,0,No
207601,Airplane,LAKEFRONT AIRPORT,"(30, 50]",C-500,Over 100,261,None,9/14/01 0:00,No damage,2,BUSINESS,Louisiana,Approach,None,False,False,FLEW UNDER A VERY LARGE FLOCK OF BIRDS OVER APCH END OF RWY. NO DMG. JUST A LOT OF BIRD DROPPINGS ON WINDSCREEN.,Small,No Cloud,European starling,N,0,50,0,No
215953,Airplane,SEATTLE-TACOMA INTL,"(30, 50]",B-737-400,Over 100,806,Precautionary Landing,9/5/02 0:00,No damage,2,ALASKA AIRLINES,Washington,Climb,None,True,False,"NOTAM WARNING. 26 BIRDS HIT THE A/C, FORCING AN EMERGENCY LDG. 77 BIRDS WERE FOUND DEAD ON RWY/TWY WITH GRASSHOPPERS IN THEIR STOMACHS. SAFETY AREAS COULD NOT BE THOROUGHLY INSPCTD DURING 14 MINUTE SHUTDOWN OF RWY 34L. NO DMG. A/C OUT OF SVC 40 MINS. PHOT",Small,Some Cloud,European starling,Y,0,50,0,Yes
219878,Airplane,NORFOLK INTL,"(30, 50]",CL-RJ100/200,Over 100,942,None,6/23/03 0:00,No damage,2,COMAIR AIRLINES,Virginia,Approach,None,False,False,NO DMG REPTD.,Small,No Cloud,European starling,N,0,50,0,No
218432,Airplane,GUAYAQUIL/S BOLIVAR,"(-1, 0]",A-300,Over 100,537,None,7/24/03 0:00,No damage,2,AMERICAN AIRLINES,,Take-off run,None,False,False,NO DMG. BIRD REMAINS ON F/O WINDSCREEN.,Small,No Cloud,Unknown bird - small,N,0,0,0,No
221697,Airplane,NEW CASTLE COUNTY,"(100, 200]",LEARJET-25,Over 100,227,Other,8/17/03 0:00,Caused damage,2,BUSINESS,Delaware,Climb,None,True,True,,Small,No Cloud,European starling,N,"1,481,711",150,0,No
236635,Airplane,WASHINGTON DULLES INTL ARPT,"(50, 100]",A-320,Over 100,320,Other,3/1/06 0:00,Caused damage,2,UNITED AIRLINES,DC,Approach,None,True,False,"WS ASSISTED IN CLEAN-UP OF 273 STARLINGS AND 1 BROWN-HEADED COWBIRD FROM RWY THRESHOLD. PHOTOS OF A/C TAKEN. BORESCOPED BOTH ENGS. FOUND DENTS AND NICKS IN STAGES 3-6. ALL WITHIN LIMITS. CLEANED RADOME, L WING, FLAPS, PYLON, GEAR AND LEADING EDGE FLAPS. R",Small,Some Cloud,European starling,Y,"1,483,141",100,0,No
207369,Airplane,ATLANTA INTL,"(-1, 0]",DC-9-30,2 to 10,9,Aborted Take-off,1/6/00 0:00,No damage,2,AIRTRAN AIRWAYS,Georgia,Take-off run,None,False,False,,Small,Some Cloud,Rock pigeon,N,0,0,0,No
204371,Airplane,ORLANDO SANFORD INTL AIRPORT,"(-1, 0]",A-330,2 to 10,4,None,1/7/00 0:00,No damage,2,AIRTOURS INTL,Florida,Landing Roll,None,False,False,FLT 057,Small,Some Cloud,Unknown bird - small,N,0,0,0,No
201589,Airplane,ONTARIO INTL ARPT,"(100, 200]",A-320,2 to 10,3,None,1/8/00 0:00,No damage,2,AMERICA WEST AIRLINES,California,Approach,None,False,False,"FLEW THRU A FLOCK OF ABOUT 30 BIRDS. INGESTED 1. REPTS DIFFER ON  ENG STRUCK, COULD BE #1 AND/OR #2.",Small,Some Cloud,Rock pigeon,N,0,200,0,No
205958,Airplane,CHICAGO O'HARE INTL ARPT,"(1000, 2000]",FOKKER F100,2 to 10,9,None,1/20/00 0:00,Caused damage,2,AMERICAN AIRLINES,Illinois,Approach,None,False,False,"JUST OUTSIDE OF WILLT ON VISUAL APCH, WE FLEW THRU A FLOCK OF  GEESE. WE HIT AT LEAST 1, HEARD THE SOUND. RT WING SUFFERED  SIGNIFICANTLY MORE DMG THAN L WING. (L. SCHAFER, WS DID NOT KNOW  ABOUT THIS STRIKE). ALSO SAW EVIDENCE OF STRIKE AROUND THE R ENG",Large,No Cloud,Canada goose,N,0,1700,0,No
200220,Airplane,GROTON-NEW LONDON AR,"(-1, 0]",C-421,2 to 10,2,None,1/30/00 0:00,No damage,2,BUSINESS,Connecticut,Landing Roll,None,False,False,,Small,Overcast,Unknown bird - small,N,0,0,0,No
200219,Airplane,SPIRIT OF ST LOUIS,"(1000, 2000]",C-560,2 to 10,2,None,1/30/00 0:00,No damage,2,EXECUTIVE JET AVIATION,Missouri,Approach,Snow,False,False,HIT FLAP,Small,Overcast,Unknown bird - small,N,0,1800,0,No
203756,Airplane,THEODORE FRANCIS GREEN STATE,"(30, 50]",B-737-200,2 to 10,5,None,1/30/00 0:00,No damage,2,US AIRWAYS*,Rhode Island,Approach,None,False,False,FLT 2634. PILOT STATED HE HEARD 3 SMALL HITS & DIDN'T BELIEVE  THERE WAS ANY DAMAGE.,Small,No Cloud,European starling,N,0,50,0,Yes
204061,Airplane,KANSAS CITY INTL,"(400, 600]",MD-80,2 to 10,5,None,2/1/00 0:00,No damage,2,TRANS WORLD AIRLINES,Missouri,Approach,None,False,False,"BIRD ID BY DAN, WS MO. 3/17/00.  FLT 345",Large,Some Cloud,Snow goose,Y,0,500,0,No
202604,Airplane,LIHUE ARPT,"(-1, 0]",DC-9-50,2 to 10,9,None,2/11/00 0:00,No damage,2,HAWAIIAN AIR,Hawaii,Take-off run,None,False,False,FLT 138.,Small,No Cloud,Black-headed munia,Y,0,0,0,No
201044,Airplane,PHOENIX SKY HARBOR,"(-1, 0]",B-737,2 to 10,9,None,2/12/00 0:00,No damage,2,AMERICA WEST AIRLINES,Arizona,Landing Roll,None,False,False,5 BIRD REMOVED FROM RWY 8L/26R AT A-2 INSN,Small,Overcast,Rock pigeon,N,0,0,0,Yes
202254,Airplane,NASHVILLE INTL,"(600, 1000]",B-737-400,2 to 10,5,None,2/18/00 0:00,No damage,2,US AIRWAYS*,Tennessee,Climb,None,False,False,"SML, STARLING TYPE BIRDS HIT F/O WINDSHLD & UNDERSIDE OF RADOME",Small,Some Cloud,European starling,N,0,800,0,Yes
205346,Airplane,JIM HAMILTON L B OWENS ARPT,"(400, 600]",C-560,2 to 10,6,None,2/23/00 0:00,Caused damage,2,BUSINESS,South Carolina,Climb,None,False,False,"LE RT WING DENTED, BASEBALL SIZE.",Small,Some Cloud,Rock pigeon,N,0,500,0,No
201610,Airplane,CHICAGO O'HARE INTL ARPT,"(3000, 5000]",B-737-300,2 to 10,7,None,2/25/00 0:00,No damage,2,UNITED AIRLINES,Illinois,Climb,Fog,False,False,FLT 580 ORD-MBS,Medium,Overcast,Unknown bird - medium,N,0,5000,0,Yes
202454,Airplane,WASHINGTON DULLES INTL ARPT,"(1000, 2000]",B-737-200,2 to 10,7,Precautionary Landing,2/29/00 0:00,No damage,2,DELTA AIR LINES,DC,Climb,None,False,False,FLT 2307 INGESTED A BIRD. SMELL OF BURNING IN COCKPIT.BIRD ID BY  WS BIOL.  ONE REPT SAYS BIRD WAS STUCK IN THE FLAP. A/C LEFT 2  HRS LATER AFTER INSPN.,Medium,No Cloud,Ring-billed gull,Y,0,1500,0,Yes
201013,Airplane,SOUTHWEST FLORIDA INTL ARPT,"(-1, 0]",B-737-400,2 to 10,4,None,2/29/00 0:00,No damage,2,AIR TRANSAT,Florida,Landing Roll,None,False,False,FLT 522,Large,Some Cloud,Sandhill crane,Y,0,0,0,Yes
205771,Airplane,ABERDEEN REGIONAL AR,"(1000, 2000]",SAAB-340,2 to 10,8,None,3/4/00 0:00,No damage,2,MESABA AIRLINES,South Dakota,Climb,None,False,False,HEARD 2 THUMPS. FOUND STRIKES ON POST FLT INSPN. TIME LOST 30  MINS.,Small,Some Cloud,Unknown bird - small,N,0,2000,0,No
202226,Airplane,NEWARK LIBERTY INTL ARPT,"(-1, 0]",MD-82,2 to 10,5,None,3/6/00 0:00,No damage,2,CONTINENTAL AIRLINES,New Jersey,Landing Roll,None,False,False,"# BIRDS STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.",Small,No Cloud,Unknown bird - small,Y,0,0,0,No
204404,Airplane,ASPEN-PITKIN CO/SARD,"(10, 30]",HAWKER 800,2 to 10,3,None,3/6/00 0:00,No damage,2,EXECUTIVE JET AVIATION,Colorado,Approach,None,False,False,"SAW SML FLOCK FLYING UPON LDG FLARE, ACROSS RWY. SMALL THUMP WAS  HEARD. FOUND REMAINS ON L NEG INTAKE NACELLE. IRD PARTS STREAKED  DOWN IN AND OUTSIDE OF ENG. ALSO ON MIDPOINT OF L FLAP. NO 2NDRY DMG.",Small,No Cloud,Unknown bird - small,N,"8,600",20,0,No
202138,Airplane,ROCHESTER INTL,"(100, 200]",FOKKER F28 MK 1000,2 to 10,4,Precautionary Landing,3/6/00 0:00,No damage,2,AMERICAN AIRLINES,Minnesota,Climb,None,False,False,FLT 1788. ABOUT 20-30 BIRDS CROSSED FLT PATH JUST AFTER ROTATION  PRIOR TO GEAR RETRACT. NOTIFIED TWR OF INTENTION TO RET TO RST.  NO PROBLEMS OR DMG INDICATED. A LOUD HTUMP WAS HEARD OVERHEAD ON  FUSELAGE. POST FLT FOUND REMAINS ON UPPER FUSELAGE AFT OF,Small,No Cloud,Unknown bird - small,N,0,200,0,No
201983,Airplane,MINNEAPOLIS-ST PAUL INTL,"(50, 100]",B-757-200,2 to 10,4,None,3/7/00 0:00,No damage,2,NORTHWEST AIRLINES,Minnesota,Approach,Rain,False,False,,Small,Overcast,Unknown bird - small,N,0,75,0,Yes
200247,Airplane,PUEBLO MEMORIAL ARPT,"(0, 10]",HAWKER 800,2 to 10,5,None,3/11/00 0:00,No damage,2,BUSINESS,Colorado,Approach,None,False,False,PILOT SAW ABOUT 30 BIRDS WHILE FLARING OUT. HEARD A COUPLE OF  POPS. 1 DEAD MEADOWLARK WAS FOUND ON RWY.,Small,No Cloud,Western meadowlark,N,0,10,0,No
201387,Airplane,WESTCHESTER COUNTY ARPT,"(0, 10]",EMB-135,2 to 10,5,None,3/13/00 0:00,No damage,2,CONTINENTAL AIRLINES,New York,Climb,None,False,False,2 BIRD HIT. CONTD TO KCLE. UNKN WHAT PART WAS STRUCK.,Medium,No Cloud,Ring-billed gull,Y,0,10,0,No
200542,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,"(3000, 5000]",DC-9-40,2 to 10,6,None,3/13/00 0:00,No damage,2,ABX AIR,Alabama,Descent,None,False,False,HIT BIRDS BETWEEN 4000-6000 FT DURING DESCENT. FOUND 3 DIFFERENT  BLOOD STAINS ON RT WING AND FEATHERS ON #2 ENG INTAKE AND ON  STARTER.INSPN FOUND NO DMG.  (REPORTS DIFFER AS TO DATE OF STRIKE  3/13 OR 3/14),Small,No Cloud,Unknown bird - small,N,0,5000,0,No
202076,Airplane,ATLANTA INTL,"(600, 1000]",DC-9-30,2 to 10,8,None,3/14/00 0:00,No damage,2,AIRTRAN AIRWAYS,Georgia,Approach,None,False,False,"BIRDS HIT BOTH MAIN GEAR, L WING & LWR FUSELAGE. DEBRIS FROM L  WING ENTERED #1 ENG BUT NO ABNORMAL INDICATIONS NOTED.",Medium,No Cloud,Mallard,N,0,1000,0,No
204836,Airplane,LAGUARDIA NY,"(1000, 2000]",B-727-200,2 to 10,10,None,3/15/00 0:00,Caused damage,3,DELTA AIR LINES,New York,Approach,None,False,False,"SAW FLASH IN LIGHTS ON RT SIDE, FOLLOWED BY LOUD THUMP. ALL A/C INDICATIONS NORMAL. DAMAGE FOUND ON POST FLT INSPN. TO RT OTBD LIGHTS, WING, FUSELAGE AND ANTENNA.",Medium,No Cloud,Unknown bird - medium,N,0,1300,0,No
203390,Airplane,TAHITI FAAA,"(-1, 0]",DC-10-30,2 to 10,7,None,3/15/00 0:00,Caused damage,3,HAWAIIAN AIR,,Landing Roll,None,False,False,SEABIRD HIT F/O WINDSHLD AS NOSE CONTACTED RWY. ALSO F/O WIP. UNSEEN BIRDS STRUCK & DESTROYED UPPER ROTATING BEACON. #2 ENG ALSO INGESTED FOD CAUSING BLADE DAMAGE.,Medium,Some Cloud,Unknown bird - medium,N,0,0,0,Yes
203936,Airplane,ORLANDO INTL,"(-1, 0]",SAAB-340,2 to 10,9,Aborted Take-off,3/18/00 0:00,No damage,2,AMERICAN EAGLE AIRLINES,Florida,Take-off run,None,False,False,"(BIRD REPTD AS GULL, ASSUME RING-BILLED BASED ON ARPT REPT)",Medium,Some Cloud,Ring-billed gull,Y,0,0,0,No
203938,Airplane,MYRTLE BEACH INTL,"(-1, 0]",B-737,2 to 10,8,None,3/22/00 0:00,Caused damage,2,US AIRWAYS*,South Carolina,Landing Roll,None,True,False,FLT 2151. PILOT REPTD BIRD STRIKE AFTER LDG. BIRDS WERE IDENTIFIED AS TURKEY VULTURES AFTER RWY CHECK.,Large,Some Cloud,Turkey vulture,N,0,0,0,Yes
200130,Airplane,MINNEAPOLIS-ST PAUL INTL,"(600, 1000]",DC-9-10,2 to 10,5,Engine Shut Down,3/23/00 0:00,Caused damage,2,NORTHWEST AIRLINES,Minnesota,Climb,None,False,False,"FLT 1493 STATED HE FLEW THRU A FLOCK OF ABOUT 50 TRUMPETER SWANS. OCCURRED OVER ARPT PROPERTY. ENG REPLACED. INGESTION. PREC. LDG. BENT BLADES, TEMP INCREASED. HIT INLET FIRST. RETD TO LAND",Large,Overcast,Tundra swan,Y,"35,146",800,0,No
201705,Airplane,LAFAYETTE REGIONAL (LA),"(600, 1000]",SAAB-340,2 to 10,3,None,3/23/00 0:00,No damage,2,AMERICAN EAGLE AIRLINES,Louisiana,Climb,None,False,False,FOUND REMAINS OF 2 BIRDS. TIME OUT OF SVC 0.5 HRS,Small,No Cloud,Unknown bird - small,Y,0,1000,0,No
201770,Airplane,CLEVELAND-HOPKINS INTL ARPT,"(1000, 2000]",EMB-145,2 to 10,6,None,3/25/00 0:00,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Approach,None,False,False,NO KNOWN DMG,Small,No Cloud,Unknown bird - small,N,0,1500,0,No
201506,Airplane,WASHINGTON DULLES INTL ARPT,"(600, 1000]",B-737-300,2 to 10,10,None,4/1/00 0:00,No damage,2,US AIRWAYS*,DC,Approach,None,False,False,"# BIRDS STRUCK NOT REPT, ASSUME 2-10, SAME AS # SEEN.",Small,No Cloud,Unknown bird - small,N,0,1000,0,Yes
201524,Airplane,SAN FRANCISCO INTL ARPT,"(-1, 0]",B-747-1/200,2 to 10,9,None,4/2/00 0:00,No damage,4,NORTHWEST AIRLINES,California,Take-off run,None,False,False,UNKNOWN WHERE BIRD HIT ON A/C. UNKN IF DMG. NO DMG REPTD,Small,No Cloud,Unknown bird - small,Y,0,0,0,No
207027,Airplane,CENTRAL WISCONSIN ARPT,"(30, 50]",SAAB-340,2 to 10,2,None,4/4/00 0:00,No damage,2,MESABA AIRLINES,Wisconsin,Approach,None,False,False,"AT 30-50 FT AGL, ABOVE RWY THRESHOLD, ABOUT 50 SPARROW-SIZED BIRDS BECAME AIRBORNE AND REMAINED IN OUR FLT PATH. FEATHERS FOUND AROUND RT ENG INTAKE.",Small,Some Cloud,Unknown bird - small,N,0,50,0,No
4064,Airplane,BARKSDALE AIR FORCE BASE ARPT,"(600, 1000]",B-52H,2 to 10,10,None,4/6/00 0:00,No damage,,MILITARY,Louisiana,Approach,None,False,False,A bird struck the left inboard flap and one was ingested into the #7 engine intake.,Medium,No Cloud,Unknown bird or bat,Y,0,1000,0,No
202816,Airplane,DETROIT METRO WAYNE COUNTY ARPT,"(50, 100]",DC-9,2 to 10,4,None,4/8/00 0:00,Caused damage,2,US AIRWAYS*,Michigan,Climb,None,False,False,CAPT SAW BIRD ON RWY DURING ROTATION. ABOUT 10 WERE 20 FT AGL THEN THEY FLEW RIGHT INTO THE A/C. DMG TO WING AND NOSE GEAR LIGHT.,Medium,Some Cloud,Unknown bird - medium,N,0,100,0,No
200828,Airplane,MYRTLE BEACH INTL,"(50, 100]",DC-9,2 to 10,10,None,4/9/00 0:00,No damage,2,AIRTRAN AIRWAYS,South Carolina,Climb,None,False,False,PILOT REPTD POSSIBLE BIRD STRIKE ON DEPTR. NO PROBLEMS REPTD. CONTD FLT TO ATL. FOUND 3 BIRDS ON RWY. FLT 683,Small,No Cloud,Unknown bird - small,N,0,100,0,No
203262,Airplane,SAN FRANCISCO INTL ARPT,"(30, 50]",B-737-500,2 to 10,10,None,4/12/00 0:00,No damage,2,UNITED AIRLINES,California,Approach,None,False,False,"FLT 2215. LOUD NOISE & SLIGHT VIBRATION FELT WHEN FLAP HANDLE IS MOVED INTO EACH DETENT. INSPN CLEANED BLOOD & FEATHER SMEARS ON NOSE WHEEL WELL AREA IN INBD LHS OF #1 FAN COWL AND LEADING EDGE. COST WAS FOR LABOR, NOT DAMAGE REPAIRS.",Small,Some Cloud,Killdeer,Y,"1,336",50,0,Yes
200681,Airplane,TOLEDO EXPRESS ARPT,"(-1, 0]",CL-RJ100/200,2 to 10,3,Other,4/13/00 0:00,Caused damage,2,COMAIR AIRLINES,Ohio,Landing Roll,None,False,False,DMGD FLAP CAUSED DEPTR TO BE CANCELLED. POSSIBLE ENG DMG. FLAP AND RIVET BENT.,Large,Some Cloud,Canada goose,N,"10,691",0,0,No
202210,Airplane,METRO OAKLAND INTL,"(-1, 0]",B-737-700,2 to 10,2,None,4/16/00 0:00,No damage,2,ALOHA AIRLINES,California,Landing Roll,None,False,False,"ENG PARAMETERS NORMAL, BUT NEEDS INSPN. COST WAS FOR INSPN",Small,Some Cloud,Western sandpiper,Y,"1,069",0,0,Yes
202062,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,"(400, 600]",B-757-200,2 to 10,2,None,4/21/00 0:00,No damage,2,DELTA AIR LINES,Alabama,Approach,None,False,False,"3-5 SWALLOWS OR SML BLACK BIRDS ON FINAL APCH WERE FLOWN THRU. 1 HIT CO/P WINDOW, SIDE SLIDING, ANOTHER MAY HAVE HIT RT WING.",Small,No Cloud,Unknown bird - small,N,0,500,0,Yes
200155,Airplane,BEVERLY MUNICIPAL ARPT,"(-1, 0]",C-560,2 to 10,8,Aborted Take-off,4/25/00 0:00,No damage,2,BUSINESS,Massachusetts,Take-off run,None,False,False,3 BIRDS STRUCK.,Large,Some Cloud,Wild turkey,N,0,0,0,No
202836,Airplane,TED STEVENS ANCHORAGE INTL,"(3000, 5000]",B-747-400,2 to 10,8,None,4/26/00 0:00,Caused damage,4,ATLAS AIR,Alaska,Descent,None,False,False,HIT 3 OUT OF 20 GEESE. FELT AND SAW STRIKES. VERY MINOR DENTS IN IMPACT AREAS.,Large,No Cloud,Canada goose,Y,0,3500,0,No
204057,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,"(600, 1000]",FOKKER F100,2 to 10,6,None,4/28/00 0:00,No damage,2,US AIRWAYS*,North Carolina,Approach,Rain,False,False,FOG AND RAIN. FLT 534.,Small,Overcast,Unknown bird - small,N,0,1000,0,No
201230,Airplane,TED STEVENS ANCHORAGE INTL,"(10, 30]",B-757-200,2 to 10,3,None,4/29/00 0:00,No damage,2,DELTA AIR LINES,Alaska,Approach,None,False,False,SOME BIRDS INGESTED IN #2 ENG.,Small,Overcast,Lapland longspur,Y,0,30,0,Yes
205954,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,"(1000, 2000]",CL-RJ100/200,2 to 10,10,None,4/30/00 0:00,No damage,2,COMAIR AIRLINES,Kentucky,Approach,None,False,False,,Small,No Cloud,Unknown bird - small,Y,0,2000,0,No
201585,Airplane,GREATER PEORIA REGIONAL ARPT,"(1000, 2000]",BE-58  BARON,2 to 10,2,None,5/3/00 0:00,No damage,2,PRIVATELY OWNED,Illinois,Approach,None,False,False,"OUTSIDE L ENG. 2 SML BIRDS HIT. 1 ON WINDSHLD, OTHER ON COWLING OUTSIDE L ENG.",Small,No Cloud,Unknown bird - small,N,0,1800,0,No
201990,Airplane,INDIANAPOLIS INTL,"(-1, 0]",DC-9-30,2 to 10,5,None,5/3/00 0:00,No damage,2,US AIRWAYS*,Indiana,Landing Roll,None,False,False,"PILOT SAID HE HIT 1 BIRD, 2 WERE FOUND ON RWY. 500 FT FROM APCH OF TWY14.",Small,No Cloud,European starling,N,0,0,0,No
202887,Airplane,SAN FRANCISCO INTL ARPT,"(-1, 0]",B-737-500,2 to 10,7,None,5/4/00 0:00,No damage,2,UNITED AIRLINES,California,Landing Roll,None,False,False,FLT 2267 BIRD HIT LHS A/.C FOUND STRKE ON LT KRUER FLAP. (DATA ENTRY NOTE: 5200-7 FORM HAD RADOME MARKED),Small,Some Cloud,Unknown bird - small,N,0,0,0,Yes
200068,Airplane,LOUISVILLE INTL ARPT,"(50, 100]",B-767-300,2 to 10,5,None,5/9/00 0:00,No damage,2,UPS AIRLINES,Kentucky,Approach,None,False,False,POSSIBLY A STARLING. LOCAL NOTAM WARNING.,Small,Overcast,Unknown bird - small,Y,0,75,0,Yes
209758,Airplane,PORTLAND INTL (OR),"(-1, 0]",DC-10,2 to 10,3,None,5/10/00 0:00,No damage,3,FEDEX EXPRESS,Oregon,Landing Roll,None,False,False,BIRDS HIT WINDSHLD & ENG COWLING.,Medium,Overcast,Mallard,Y,0,0,0,No
200785,Airplane,STEWART INTL AIRPORT,"(30, 50]",FOKKER F100,2 to 10,4,None,5/13/00 0:00,No damage,2,AMERICAN AIRLINES,New York,Climb,None,False,False,APPROX 5 BIRDS KILLED. FLT 1687.,Medium,Some Cloud,Herring gull,N,0,50,0,No
201283,Airplane,LOS ANGELES INTL,"(-1, 0]",SAAB-340,2 to 10,7,Aborted Take-off,5/15/00 0:00,Caused damage,2,AMERICAN EAGLE AIRLINES,California,Take-off run,None,False,False,"FLT 103. BIRD STRUCK NOSE CONE, BLOOD OVER WINDSHLD. OTHER BIRD WAS INGESTED. ENG RAN BOUT 50 DEGREES HOTTER. FLT TO SAN WAS CANCELLED. ENG WAS CHANGED FOR FOD CONTAMINATION. (ENG MANU REPTS NO FAN BLADE DMG)",Small,Some Cloud,Rock pigeon,N,"801,820",0,0,No
7379,Airplane,BARKSDALE AIR FORCE BASE ARPT,"(1000, 2000]",B-52H,2 to 10,9,None,5/18/00 0:00,No damage,,MILITARY,Louisiana,Approach,None,True,True,Birdstrike on #1 main landing gear and above the #5 engine.,Small,No Cloud,Cape May warbler,Y,0,1200,0,No
200893,Airplane,BURKE LAKEFRONT,"(-1, 0]",PA-31 NAVAJO,2 to 10,10,None,5/19/00 0:00,No damage,2,BUSINESS,Ohio,Landing Roll,Rain,False,False,BOTH RING-BILLED & HERRING GULLS REPTD. WET SURFACE ON RWY FROM RAINSTORM.,Medium,Overcast,Herring gull,Y,0,0,0,No
203391,Airplane,PHILADELPHIA INTL,"(600, 1000]",FOKKER F100,2 to 10,3,None,5/23/00 0:00,No damage,2,AMERICAN AIRLINES,Pennsylvania,Approach,None,False,False,ATIS WARNING.,Medium,Overcast,Unknown bird - medium,Y,0,850,0,No
207700,Airplane,METRO OAKLAND INTL,"(10, 30]",B-737-300,2 to 10,7,None,5/28/00 0:00,No damage,2,UNITED AIRLINES,California,Climb,None,False,False,"FLT 2539 REPTD STRIKING A FEW BIRDS ON T/O. ""BLOOD ON THE GLASS"" FOUND 1 ROCK DOVE AT 1500' DWON RWY. BIRD WAS IN 4 PARTS. AIRLINE REPT STATED BIRD HIT INIVICINTY OF LT WING. MAINT CLEANED AREA & LE LFAPS WORK NORMAL.",Small,Some Cloud,Rock pigeon,Y,0,30,0,Yes
201771,Airplane,CAPITAL CITY (MI),"(-1, 0]",SAAB-340,2 to 10,7,None,5/29/00 0:00,No damage,2,CHAUTAUQUA AIRLINES,Michigan,Take-off run,None,False,False,,Small,Some Cloud,Unknown bird - small,N,0,0,0,No
203389,Airplane,CAPITAL (BEIJING),"(200, 400]",B-727,2 to 10,4,None,5/29/00 0:00,No damage,3,DELTA AIR LINES,,Approach,None,False,False,FLT 890,Small,No Cloud,Unknown bird - small,Y,0,300,0,No
203333,Airplane,PEASE INTL TRADEPORT,"(600, 1000]",C-172,2 to 10,3,Precautionary Landing,5/30/00 0:00,Caused damage,1,PRIVATELY OWNED,New Hampshire,Climb,None,False,False,BLACKBIRDS OR CROWS. 2 SLIGHT DENTS I BOTTOM SURFACE OF WING JUST OTBD OF STRUT. BIRD ID BY WS BIOL,Medium,Some Cloud,American crow,Y,0,1000,0,No
202886,Airplane,SAVANNAH INTL,"(-1, 0]",EMB-145,2 to 10,2,None,6/1/00 0:00,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Georgia,Take-off run,Fog,False,False,,Small,Overcast,Unknown bird - small,Y,0,0,0,No
201053,Airplane,PHILADELPHIA INTL,"(400, 600]",A-320,2 to 10,10,None,6/3/00 0:00,No damage,2,AMERICA WEST AIRLINES,Pennsylvania,Approach,None,False,False,2 birds,Small,No Cloud,Unknown bird - small,N,0,500,0,No
203804,Airplane,WASHINGTON DULLES INTL ARPT,"(100, 200]",BA-31 JETSTR,2 to 10,9,None,6/6/00 0:00,No damage,2,ATLANTIC COAST AIRLINES,DC,Approach,None,False,False,"FLT 7189. REMAINS FOUND ON FUSELAGE, PROP AND INTAKE.",Small,No Cloud,Unknown bird - small,N,0,150,0,No
202701,Airplane,BURKE LAKEFRONT,"(-1, 0]",LEARJET-35,2 to 10,3,None,6/6/00 0:00,No damage,2,BUSINESS,Ohio,Landing Roll,None,False,False,2 BIRDS KILLED.,Medium,Some Cloud,Ring-billed gull,Y,0,0,0,No
202151,Airplane,HILO INTL ARPT,"(-1, 0]",DC-9-50,2 to 10,10,None,6/7/00 0:00,No damage,2,HAWAIIAN AIR,Hawaii,Landing Roll,None,False,False,A/C REG GIVEN AS 63. ARPT REPTD AS GENERAL LYMAN FIELD. POSTMARK WAS HONOLULU.  ASSUME HONOLULU ARPT,Small,Some Cloud,Common myna,N,0,0,0,No
205305,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,"(0, 10]",MD-88,2 to 10,5,Precautionary Landing,6/8/00 0:00,No damage,2,DELTA AIR LINES,Florida,Climb,None,False,False,"ON ROTATION, FLT 712 HIT A FLOCK OF BIRDS. RETD SAFELY. NOSE AND WNDSHLD WERE CLEANED. 98 PAX AND 5 CREW. SMELLED BURNING BIRD IN PACKS. MIGHT HAVE BEEN AN INGESTION.",Small,Some Cloud,Unknown bird - small,Y,0,10,0,No
203483,Airplane,DALLAS LOVE FIELD ARPT,"(-1, 0]",B-737,2 to 10,2,None,6/9/00 0:00,No damage,2,SOUTHWEST AIRLINES,Texas,Landing Roll,None,False,False,,Small,Overcast,Unknown bird - small,N,0,0,0,Yes
